type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,4
0,6.4,0.21,0.28,5.9,0.047,29,101,0.99278,3.15,0.4,11,4
0,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,5
0,6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,3
0,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,1
0,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,3
1,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,4
0,7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,4
0,6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,9.4,4
0,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,5
1,7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,4
0,7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,4
0,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,3
0,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,4
0,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,4
1,7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,3
1,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,4
0,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,4
0,7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,3
0,8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,5
1,9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,3
1,9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,3
0,6.9,0.17,0.25,1.6,0.047,34,132,0.9914,3.16,0.48,11.4,3
0,6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,4
1,8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,4
0,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,4
0,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3,5
0,6.9,0.17,0.22,4.6,0.064,55,152,0.9952,3.29,0.37,9.3,4
0,7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,4
0,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,7
0,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,3
0,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,2
0,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,3
0,7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,5
0,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,3
1,6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,2
0,6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,5
0,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,2
1,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,5
0,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,3
1,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,4
1,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,3
0,6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,5
0,8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,2
1,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,3
0,7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,4
0,6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,4
0,6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,4
0,6.7,0.47,0.29,4.75,0.034,29,134,0.99056,3.29,0.46,13,5
0,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,2
0,6.6,0.19,0.28,1.1,0.044,38,100,0.9904,3.22,0.69,11.2,4
1,8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,3
1,8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,3
1,7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,3
0,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,4
0,6.8,0.28,0.6,1.1,0.132,42,127,0.9934,3.09,0.44,9.1,4
0,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,3
1,10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,3
0,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,5
1,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,3
1,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,4
0,5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,3
0,7.6,0.26,0.58,7.9,0.041,62,180,0.9966,3.07,0.38,9,3
1,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,3
0,8.3,0.22,0.38,14.8,0.054,32,126,1.0002,3.22,0.5,9.7,3
0,6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,4
0,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,3
0,6.7,0.31,0.44,6.7,0.054,29,160,0.9952,3.04,0.44,9.6,3
0,7.9,0.3,0.27,8.5,0.036,20,112,0.9939,2.96,0.46,11.7,4
0,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,5
0,7.6,0.2,0.31,1.4,0.047,41,142,0.9934,3.43,0.53,10.1,4
1,7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,6
1,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,4
0,6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3,3
1,7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,4
0,6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,4
0,7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,3
0,7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,4
0,5.7,0.22,0.29,3.5,0.04,27,146,0.98999,3.17,0.36,12.1,4
0,6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,4
0,6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,3
0,6.9,0.19,0.31,19.25,0.043,38,167,0.99954,2.93,0.52,9.1,5
0,6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,3
0,6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,4
0,6.5,0.29,0.25,10.6,0.039,32,120,0.9962,3.31,0.34,10.1,4
0,6.6,0.27,0.32,1.3,0.044,18,93,0.99044,3.11,0.56,12.25,3
0,7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12,5
0,6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,4
0,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,3
0,6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,3
1,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,4
0,6.6,0.25,0.32,5.6,0.039,15,68,0.99163,2.96,0.52,11.1,4
0,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,4
1,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,4
0,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,3
1,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,4
0,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5,6
0,6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,3
0,6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,4
0,7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,3
0,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,4
0,8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,4
1,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,3
0,5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,4
0,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,3
1,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,4
1,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,3
0,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,4
0,6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,5
0,6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,3
0,5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,4
0,5.8,0.28,0.18,1.2,0.058,7,108,0.99288,3.23,0.58,9.55,2
0,7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,5
1,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,4
1,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,3
0,6.6,0.17,0.36,1.9,0.036,38,110,0.99056,3.05,0.54,11.4,4
1,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,4
0,7.7,0.26,0.51,2.6,0.045,26,159,0.99126,3,0.5,11.2,4
0,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,4
1,6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,4
1,11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,5
0,5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,3
0,7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,5
0,6.5,0.315,0.2,6.6,0.041,9,126,0.99494,2.94,0.51,8.8,3
0,6,0.22,0.33,12.2,0.033,25,97,0.99356,3.17,0.42,11.3,5
1,11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,5
1,7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,3
0,7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,4
1,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,2
0,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,5
0,6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,4
0,6.9,0.19,0.28,3,0.054,33,99,0.9924,3.16,0.4,10.8,4
0,5.9,0.26,0.29,5.4,0.046,34,116,0.99224,3.24,0.41,11.4,4
1,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,2
1,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,4
0,8,0.22,0.31,5.6,0.049,24,97,0.993,3.1,0.42,10.9,3
0,7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,4
0,7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,4
0,7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,4
0,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,3
1,8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,4
0,6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,4
1,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,5
0,6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,4
1,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,5
0,6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,4
0,7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,5
0,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,3
0,5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,5
0,6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,4
1,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,5
0,7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,4
1,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,4
1,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,3
0,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,4
0,7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,4
0,6.5,0.22,0.27,1.6,0.039,36,116,0.99178,3.38,0.57,11,5
0,8,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,5
1,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,3
0,7.1,0.31,0.38,1.2,0.036,10,124,0.9924,3.14,0.44,9.9,4
1,8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,3
1,5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,4
1,9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,5
0,6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,3
0,7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4,3
0,6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,4
0,7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,4
0,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,4
0,7.8,0.28,0.22,1.4,0.056,24,130,0.9944,3.28,0.48,9.5,3
0,7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,2
0,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,5
1,6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,5
0,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,4
1,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,4
0,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,3
1,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,3
0,5.9,0.21,0.23,7.9,0.033,22,130,0.9944,3.38,0.59,10.9,4
0,7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,4
0,7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,4
0,8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,4
0,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,4
0,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,2
0,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,4
0,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,5
1,10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,3
0,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,3
0,8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,4
0,7.2,0.19,0.31,1.4,0.046,37,135,0.9939,3.34,0.57,10.2,5
0,6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,4
0,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,7
0,7.9,0.16,0.3,4.8,0.037,37,171,0.9967,3.47,0.44,9,2
0,7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,4
0,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,3
0,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,7
1,6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,3
1,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,3
0,5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,4
1,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,3
0,6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12,3
0,6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,4
1,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,5
0,6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,3
0,7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,3
0,6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,3
1,8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,3
1,7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,3
0,7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,3
1,10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,5
1,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,4
0,5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,4
1,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,4
0,5.2,0.25,0.23,1.4,0.047,20,77,0.99001,3.32,0.62,11.4,3
0,8,0.44,0.49,9.1,0.031,46,151,0.9926,3.16,0.27,12.7,6
1,5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,4
1,9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,4
0,7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,5
0,6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,4
0,6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,5
0,6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,4
0,5.9,0.34,0.25,2,0.042,12,110,0.99034,3.02,0.54,11.4,4
0,6.4,0.31,0.39,7.5,0.04,57,213,0.99475,3.32,0.43,10,3
0,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,3
0,5.7,0.25,0.32,12.2,0.041,43,127,0.99524,3.23,0.53,10.4,5
0,6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8,3
0,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,3
1,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,4
0,4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,3
0,5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,4
0,5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,4
0,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,5
1,7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,2
1,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,4
0,6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,4
0,6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,3
0,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,5
0,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,3
0,7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,4
1,8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,4
1,7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,3
0,6.8,0.27,0.3,13,0.047,69,160,0.99705,3.16,0.5,9.6,4
0,6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,3
0,5.9,0.21,0.31,1.8,0.033,45,142,0.98984,3.35,0.5,12.7,4
0,7.5,0.18,0.37,6.2,0.05,21,138,0.99546,3.2,0.55,10.5,4
1,6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,3
1,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,3
0,5.7,0.27,0.32,1.2,0.046,20,155,0.9934,3.8,0.41,10.2,4
0,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,4
0,6.5,0.27,0.26,11,0.03,2,82,0.99402,3.07,0.36,11.2,3
0,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,4
1,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,4
1,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,4
0,7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,4
1,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,4
0,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,5
0,6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,2
0,8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,5
0,5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,3
